x, y
0.12098298676748583, -2.3076923076923075
0.3629489603024575, -2.3004354136429606
0.665406427221172, -2.3004354136429606
1.0132325141776939, -2.2714078374455733
1.4215500945179584, -2.2423802612481856
1.7844990548204158, -2.2133526850507983
2.1020793950850662, -2.1843251088534106
2.4650283553875236, -2.1552975326560233
2.888468809073724, -2.1262699564586356
3.3270321361058603, -2.104499274310595
3.8109640831758034, -2.0827285921625545
4.355387523629489, -2.0609579100145137
4.914933837429111, -2.0682148040638606
5.489603024574669, -2.0682148040638606
6.291115311909263, -2.0899854862119014
6.790170132325142, -2.1190130624092887
7.47069943289225, -2.1552975326560233
7.89413988657845, -2.1915820029027575
5.897920604914934, -2.0754716981132075
