x, y
0.10586011342155009, -2.3076923076923075
0.5595463137996219, -2.3076923076923075
1.0737240075614367, -2.3294629898403483
1.7391304347826086, -2.358490566037736
2.389413988657845, -2.409288824383164
3.0699432892249527, -2.474600870827286
3.7051039697542536, -2.547169811320755
4.46124763705104, -2.648766328011611
5.141776937618148, -2.7503628447024675
5.822306238185256, -2.8592162554426706
6.457466918714556, -2.9680696661828736
7.153119092627599, -3.0914368650217705
7.833648393194707, -3.2220609579100143
