x, y
0.13610586011342155, -3.084179970972424
0.34782608695652173, -3.084179970972424
0.5746691871455577, -3.0986937590711174
0.8317580340264651, -3.1204644412191582
1.0737240075614367, -3.149492017416546
1.2703213610586013, -3.1712626995645863
1.4669187145557656, -3.1930333817126266
1.6937618147448015, -3.236574746008708
1.9810964083175804, -3.2873730043541363
2.2381852551984878, -3.3381712626995643
2.4952741020793954, -3.3889695210449924
2.782608695652174, -3.4542815674891143
3.0850661625708886, -3.5123367198838897
3.3724007561436675, -3.5776487663280117
3.6446124763705106, -3.6429608127721336
3.9017013232514177, -3.7010159651669086
4.219281663516068, -3.7735849056603774
4.56710775047259, -3.867924528301887
4.869565217391305, -3.9404934687953554
5.187145557655954, -4.034833091436865
5.504725897920605, -4.114658925979681
5.80718336483932, -4.194484760522497
6.064272211720227, -4.267053701015965
6.396975425330813, -4.354136429608127
6.699432892249527, -4.448476052249637
7.017013232514178, -4.5355587808418
7.304347826086957, -4.615384615384615
7.591682419659736, -4.702467343976778
7.848771266540643, -4.7677793904209
