x, y
0.15122873345935728, -0.02328966521106235
0.5444234404536862, -0.06113537117903878
1.0737240075614367, -0.19359534206695717
1.5727788279773158, -0.36390101892285287
2.056710775047259, -0.5909752547307132
2.5406427221172025, -0.8369723435225618
3.130434782608696, -1.1586608442503636
3.674858223062382, -1.4992721979621542
4.355387523629489, -1.915574963609898
5.156899810964084, -2.4832605531295484
6.155009451795841, -3.1834061135371177
7.017013232514178, -3.8078602620087336
7.803402646502835, -4.394468704512373
